2012110100      11       2
2012110106      11       2
2012110112      11       2
2012110118      16       2
2012110200      16       2
2012110206      16       2
2012110212      16       2
2012110218      16       2
2012110300      11       2
2012110306      11       2
2012110312      11       2
2012110318       6       3
2012110400       6       3
2012110406       6       3
2012110412       7       6
2012110418       6       3
2012110500       7       6
2012110506       6       3
2012110512      12       6
2012110518      12       6
2012110600      18       4
2012110606      18       4
2012110612      18       4
2012110618      18       4
2012110700      18       4
2012110706      13       4
2012110712      13       4
2012110718      13       4
2012110800      13       4
2012110806       1       3
2012110812      13       4
2012110818       1       3
2012110900      13       4
2012110906       7       6
2012110912      14       4
2012110918      14       4
2012111000      15       4
2012111006      15       4
2012111012      15       4
2012111018      15       4
2012111100      15       4
2012111106      20       4
2012111112      20       4
2012111118      20       4
2012111200      25       1
2012111206      25       1
2012111212      25       1
2012111218      25       1
2012111300       5       3
2012111306       4       3
2012111312       4       3
2012111318       3       3
2012111400       2       3
2012111406       1       3
2012111412       1       3
2012111418       1       3
2012111500       1       3
2012111506       1       3
2012111512       1       3
2012111518       1       3
2012111600       1       3
2012111606       1       3
2012111612       1       3
2012111618       1       3
2012111700       2       3
2012111706       2       3
2012111712       9       4
2012111718       9       4
2012111800      10       4
2012111806       3       3
2012111812       4       3
2012111818       3       3
2012111900       3       3
2012111906      21       2
2012111912      21       2
2012111918      21       2
2012112000       3       3
2012112006       2       3
2012112012       3       3
2012112018       3       3
2012112100       3       3
2012112106       2       3
2012112112       3       3
2012112118       3       3
2012112200      21       2
2012112206      21       2
2012112212      21       2
2012112218      21       2
2012112300       3       3
2012112306      21       2
2012112312       3       3
2012112318       2       3
2012112400       2       3
2012112406       1       3
2012112412       2       3
2012112418       6       3
2012112500       6       3
2012112506       1       3
2012112512       1       3
2012112518       1       3
2012112600       1       3
2012112606       1       3
2012112612      12       6
2012112618      12       6
2012112700      13       4
2012112706      12       6
2012112712      18       4
2012112718      12       6
2012112800      18       4
2012112806      12       6
2012112812      18       4
2012112818      12       6
2012112900      18       4
2012112906      12       6
2012112912      18       4
2012112918      18       4
2012113000      18       4
2012113006      12       6
2012113012      12       6
2012113018      11       2
2012120100       2       3
2012120106       6       2
2012120112       7       3
2012120118       7       3
2012120200      12       3
2012120206      11       2
2012120212      12       3
2012120218      12       3
2012120300      12       3
2012120306      12       3
2012120312      18       1
2012120318      18       1
2012120400      18       1
2012120406      18       1
2012120412      24       1
2012120418      23       1
2012120500      23       1
2012120506      17       2
2012120512      17       2
2012120518      16       2
2012120600      16       2
2012120606      11       2
2012120612      16       2
2012120618       1       2
2012120700      16       2
2012120706       1       2
2012120712      16       2
2012120718      16       2
2012120800      16       2
2012120806      16       2
2012120812      22       2
2012120818      16       2
2012120900      16       2
2012120906      16       2
2012120912      16       2
2012120918      16       2
2012121000      16       2
2012121006      11       2
2012121012      11       2
2012121018      11       2
2012121100      11       2
2012121106      11       2
2012121112      11       2
2012121118       6       2
2012121200      12       3
2012121206      11       2
2012121212      17       2
2012121218      17       2
2012121300      22       2
2012121306      22       2
2012121312      22       2
2012121318      21       2
2012121400      21       2
2012121406      21       2
2012121412      21       2
2012121418      21       2
2012121500      21       2
2012121506      21       2
2012121512      22       2
2012121518      22       2
2012121600      23       1
2012121606      22       2
2012121612      23       1
2012121618      23       1
2012121700      23       1
2012121706      22       2
2012121712      22       2
2012121718      21       2
2012121800      21       2
2012121806      21       2
2012121812      21       2
2012121818      21       2
2012121900      21       2
2012121906      21       2
2012121912      21       2
2012121918      21       2
2012122000      21       2
2012122006      21       2
2012122012      21       2
2012122018      21       2
2012122100      21       2
2012122106      21       2
2012122112      21       2
2012122118      21       2
2012122200      21       2
2012122206      21       2
2012122212      21       2
2012122218      21       2
2012122300      21       2
2012122306      21       2
2012122312      21       2
2012122318      21       2
2012122400      21       2
2012122406      21       2
2012122412      21       2
2012122418      21       2
2012122500      23       1
2012122506      23       1
2012122512      24       1
2012122518      23       1
2012122600      24       1
2012122606      23       1
2012122612      24       1
2012122618      23       1
2012122700      23       1
2012122706      23       1
2012122712      23       1
